Ref_Date,UOM,GEO,DURATION,AGE,Vector,Coordinate,Value
1982,Person-trips,Canada,Same day,"15-19 years (x 1,000)",v130946,1.1.2.3,2401.0
1984,Person-trips,Canada,Same day,"15-19 years (x 1,000)",v130946,1.1.2.3,2091.0
1986,Person-trips,Canada,Same day,"15-19 years (x 1,000)",v130946,1.1.2.3,2472.0
1988,Person-trips,Canada,Same day,"15-19 years (x 1,000)",v130946,1.1.2.3,2822.0
1990,Person-trips,Canada,Same day,"15-19 years (x 1,000)",v130946,1.1.2.3,3001.0
1992,Person-trips,Canada,Same day,"15-19 years (x 1,000)",v130946,1.1.2.3,3713.0
1994,Person-trips,Canada,Same day,"15-19 years (x 1,000)",v130946,1.1.2.3,4542.0
1996,Person-trips,Canada,Same day,"15-19 years (x 1,000)",v130946,1.1.2.3,3336.0
1980,Person-trips,Canada,Same day,"20-24 years (x 1,000)",v130949,1.1.2.4,3548.0
1982,Person-trips,Canada,Same day,"20-24 years (x 1,000)",v130949,1.1.2.4,2489.0
1984,Person-trips,Canada,Same day,"20-24 years (x 1,000)",v130949,1.1.2.4,2032.0
1986,Person-trips,Canada,Same day,"20-24 years (x 1,000)",v130949,1.1.2.4,3671.0
1988,Person-trips,Canada,Same day,"20-24 years (x 1,000)",v130949,1.1.2.4,3692.0
1990,Person-trips,Canada,Same day,"20-24 years (x 1,000)",v130949,1.1.2.4,3391.0
1992,Person-trips,Canada,Same day,"20-24 years (x 1,000)",v130949,1.1.2.4,5624.0
1994,Person-trips,Canada,Same day,"20-24 years (x 1,000)",v130949,1.1.2.4,5433.0
1996,Person-trips,Canada,Same day,"20-24 years (x 1,000)",v130949,1.1.2.4,4402.0
1980,Person-trips,Canada,Same day,"25-34 years (x 1,000)",v130952,1.1.2.5,7807.0
1982,Person-trips,Canada,Same day,"25-34 years (x 1,000)",v130952,1.1.2.5,7217.0
1984,Person-trips,Canada,Same day,"25-34 years (x 1,000)",v130952,1.1.2.5,6217.0
1986,Person-trips,Canada,Same day,"25-34 years (x 1,000)",v130952,1.1.2.5,8775.0
1988,Person-trips,Canada,Same day,"25-34 years (x 1,000)",v130952,1.1.2.5,11736.0
1990,Person-trips,Canada,Same day,"25-34 years (x 1,000)",v130952,1.1.2.5,10771.0
1992,Person-trips,Canada,Same day,"25-34 years (x 1,000)",v130952,1.1.2.5,15141.0
1994,Person-trips,Canada,Same day,"25-34 years (x 1,000)",v130952,1.1.2.5,14404.0
1996,Person-trips,Canada,Same day,"25-34 years (x 1,000)",v130952,1.1.2.5,11911.0
1980,Person-trips,Canada,Same day,"35-44 years (x 1,000)",v130955,1.1.2.6,6369.0
1982,Person-trips,Canada,Same day,"35-44 years (x 1,000)",v130955,1.1.2.6,5539.0
1984,Person-trips,Canada,Same day,"35-44 years (x 1,000)",v130955,1.1.2.6,5716.0
1986,Person-trips,Canada,Same day,"35-44 years (x 1,000)",v130955,1.1.2.6,8039.0
1988,Person-trips,Canada,Same day,"35-44 years (x 1,000)",v130955,1.1.2.6,10371.0
1990,Person-trips,Canada,Same day,"35-44 years (x 1,000)",v130955,1.1.2.6,11880.0
1992,Person-trips,Canada,Same day,"35-44 years (x 1,000)",v130955,1.1.2.6,16091.0
1994,Person-trips,Canada,Same day,"35-44 years (x 1,000)",v130955,1.1.2.6,17319.0
1996,Person-trips,Canada,Same day,"35-44 years (x 1,000)",v130955,1.1.2.6,13503.0
1980,Person-trips,Canada,Same day,"45-54 years (x 1,000)",v130958,1.1.2.7,4244.0
1982,Person-trips,Canada,Same day,"45-54 years (x 1,000)",v130958,1.1.2.7,3865.0
1984,Person-trips,Canada,Same day,"45-54 years (x 1,000)",v130958,1.1.2.7,4410.0
1986,Person-trips,Canada,Same day,"45-54 years (x 1,000)",v130958,1.1.2.7,5017.0
1988,Person-trips,Canada,Same day,"45-54 years (x 1,000)",v130958,1.1.2.7,6740.0
1990,Person-trips,Canada,Same day,"45-54 years (x 1,000)",v130958,1.1.2.7,8179.0
1992,Person-trips,Canada,Same day,"45-54 years (x 1,000)",v130958,1.1.2.7,11509.0
1994,Person-trips,Canada,Same day,"45-54 years (x 1,000)",v130958,1.1.2.7,11875.0
1996,Person-trips,Canada,Same day,"45-54 years (x 1,000)",v130958,1.1.2.7,11256.0
1980,Person-trips,Canada,Same day,"55-64 years (x 1,000)",v130961,1.1.2.8,3137.0
1982,Person-trips,Canada,Same day,"55-64 years (x 1,000)",v130961,1.1.2.8,2882.0
1984,Person-trips,Canada,Same day,"55-64 years (x 1,000)",v130961,1.1.2.8,2829.0
1986,Person-trips,Canada,Same day,"55-64 years (x 1,000)",v130961,1.1.2.8,4231.0
1988,Person-trips,Canada,Same day,"55-64 years (x 1,000)",v130961,1.1.2.8,5063.0
1990,Person-trips,Canada,Same day,"55-64 years (x 1,000)",v130961,1.1.2.8,4876.0
1992,Person-trips,Canada,Same day,"55-64 years (x 1,000)",v130961,1.1.2.8,6426.0
1994,Person-trips,Canada,Same day,"55-64 years (x 1,000)",v130961,1.1.2.8,7529.0
1996,Person-trips,Canada,Same day,"55-64 years (x 1,000)",v130961,1.1.2.8,6704.0
1980,Person-trips,Canada,Same day,"65-69 years (x 1,000)",v130964,1.1.2.9,930.0
1982,Person-trips,Canada,Same day,"65-69 years (x 1,000)",v130964,1.1.2.9,895.0
1984,Person-trips,Canada,Same day,"65-69 years (x 1,000)",v130964,1.1.2.9,797.0
1986,Person-trips,Canada,Same day,"65-69 years (x 1,000)",v130964,1.1.2.9,1322.0
1988,Person-trips,Canada,Same day,"65-69 years (x 1,000)",v130964,1.1.2.9,1905.0
